Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
LOCATION-CODE,String,1,6,location_code,Yes,,Default to '100030',100030,Location Code for Account
ACCT-NUM,String,7,18,acct_num,Yes,,"Generate this record only when CCI = 1, 9 R_TR_BR (TR-BR) + R_TR_CUS (TR-CUS) + R_TR_LN (TR-LN)",,Account Number
TRANSACTION-CODE,String,25,3,transaction_code,Yes,,"Default to ""300"" - If record has valid mapping for CATEGORY-CODE (mapped to TransactionCode)",300,Type of Transaction
TRANSACTION-DATE,Date,28,8,transaction_date,Yes,CCYYMMDD,"If the TR_PROC_DTE and BATCH_DATE are not equal, then TR_PROC_DATE = BATCH_DATE, else TR_PROC_DTE.",,Date of Transaction
TRANSACTION-AMOUNT,Numeric,36,18,transaction_amount,Yes,9(12)V9(6),"Need to create following three records for each account: Add all source's payments (TR-TOTAL-AMT (if the TR_TOTAL_AMT is NULL or 0, then TR_TOTAL_AMT = TR_PRIN + TR_INT + TR_MISC else TR_TOTAL_AMT)) for a particular account in one record (for all payment transactions from source refer tab 'Transactions Worksheet'), where TR-PROC-DTE = Batch Date and (TR-TR + TR-AC-CODE) in columnB of tab 'Transactions Worksheet' and TR-DESC not equal ""****"" and Add all source's credit txns (TR-TOTAL-AMT (if the TR_TOTAL_AMT is NULL or 0, then TR_TOTAL_AMT = TR_PRIN + TR_INT + TR_MISC else TR_TOTAL_AMT)) for a particular account in one record (for all credit transactions from source refer tab 'Transactions Worksheet'), where TR-PROC-DTE = Batch Date and (TR-TR + TR-AC-CODE) in columnC of tab 'Transactions Worksheet' and TR-DESC not equal ""****"" and Add all source's debit txns (TR-TOTAL-AMT (if the TR_TOTAL_AMT is NULL or 0, then TR_TOTAL_AMT = TR_PRIN + TR_INT + TR_MISC else TR_TOTAL_AMT)) for a particular account in one record (for all debit transactions from source refer tab 'Transactions Worksheet'), where TR-PROC-DTE = Batch Date and (TR-TR + TR-AC-CODE) in columnD of tab 'Transactions Worksheet' and TR-DESC not equal ""****""",,The total currency amount of the transaction.
NUMBER-OF-DEBITS,Numeric,54,2,number_of_debits,No,9(2),Default to '00',00,The number of debits in the day. This field must be numeric and is used only ...
CATEGORY-CODE,String,56,1,category_code,Yes,,"Need to create following three records for each account based on Transaction-Amount (row 8 above): For a Payment Transaction, set '2'; For a Credit Transaction, set '3'; For a Debit Transaction, set '1'; ELSE 'Don't Create this Record'",2|3|1,Type of credit/debit
THIRD-PARTY-ID,String,57,8,third_party_id,No,,Leave Blank <spaces>,,The unique identifier of the outside collection agency or other third party.
THIRD-PARTY-COMM-AMT,Numeric,65,18,third_party_comm_amt,No,9(12)V9(6),Default to '000000000000000000',000000000000000000,"For payments and payment reversals this is the commission amount, for expense..."
BATCH-INFO,String,83,25,batch_info,No,,Leave Blank <spaces>,,The information describing the batch.
ORIGINAL-TRAN-INFO,String,108,10,original_tran_info,No,,Leave Blank <spaces>,,The original transaction associated with the account.
THIRD-PARTY-AMT-AFFECTED,String,118,1,third_party_amt_affected,No,,Leave Blank <spaces>,,Used to indicate how this transaction affects the Third Party.
THIRD-PARTY-WITHHELD-FLAG,String,119,1,third_party_withheld_flag,No,,Leave Blank <spaces>,,An indicator specifying if commissions or expense were withheld by the third ...
INPUT-SOURCE-CODE,Numeric,120,3,input_source_code,No,9(3),Default to '000',000,An optional field that can be used for the General Ledger mapping of Third Pa...
REFERENCE-NUM,String,123,3,reference_num,No,,Leave Blank <spaces>,,An optional field that can be used to identify the Third Party Expense transa...
