Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
ST-COD-ORI,String,509,3,st_cod_ori,No,,IF 001 THEN 'NC'; ELSEIF 002 THEN 'SC'; ELSEIF 003 THEN 'VA'; ELSEIF 004 THEN 'GA'; ELSEIF 005 THEN 'MD'; ELSEIF 006 THEN 'DC'; ELSEIF 007 THEN 'WV'; ELSEIF 008 THEN 'KY'; ELSEIF 407 THEN 'TX'; ELSEIF 408 THEN 'NV'; ELSEIF 503 THEN 'TN'; ELSEIF 504 THEN 'AL'; ELSEIF 505 THEN 'IN'; ELSEIF 506 THEN 'FL'; ELSEIF 507 THEN 'MS'; ELSEIF 508 THEN 'AR'; ELSEIF 807 THEN 'OH'; ELSEIF 808 THEN 'PA'; ELSEIF 809 THEN 'NJ'; ELSEIF 304 AND [if account is found in coll_address Contact.txt; then pass state code for Primary Contact Address.] e.g. 'CA' for California ELSE Leave Blank <spaces>,NC|SC|VA|GA|MD|DC|WV|KY|TX|NV|TN|AL|IN|FL|MS|AR|OH|PA|NJ,Indicates which set of state-level parameters apply to the account. Populate ...
DAT-INT-ACR-TO-ORI,Date,512,10,dat_int_acr_to_ori,Yes,MM/DD/CCYY,,,The last date on which accruals were taken on the loan.
ACT-STA-ORI,Numeric,522,1,act_sta_ori,No,9(1),Default to '0',0,The current status of the account as it pertains to the ability to post monet...
MTG-AGC-ID-ORI,String,523,2,mtg_agc_id_ori,No,,Leave Blank <spaces>,,The mortgage agency identifier as reported to the Credit Bureaus on the K3 se...
PCOF-DAT-LAS-PMT-ORI,Date,525,10,pcof_dat_las_pmt_ori,No,MM/DD/CCYY,Transform as is.,,The date the last payment was made on the account prior to charge-off.
MTG-ID-NUM-ORI,String,535,18,mtg_id_num_ori,No,,Leave Blank <spaces>,,The mortgage identification number as reported to the Credit Bureaus on the K...
DAT-LAS-STM-ORI,Date,553,10,dat_las_stm_ori,No,MM/DD/CCYY,IF M-CYCLE-BEG-DTE not null then (M-CYCLE-BEG-DTE - 1); ELSE Leave Blank <spaces>,,The last date that a statement was produced for the account prior to charge-off.
PCOF-PMT-AMT-LAS-ORI,Numeric,563,22,pcof_pmt_amt_las_ori,No,-Z(12).9(2),If DTE_LAST_PMT is not NULL and M-BBT-LST-PAYMNT-AMT then pass 1.00,,The last payment amount paid on the account prior to charge-off.
CNV-ACT-NUM-ORI,String,585,20,cnv_act_num_ori,No,,If ALS account number is present then pass as is if not then pass blank.,,The original loan account number.
OGL-PMT-AMT-ORI,Numeric,605,22,ogl_pmt_amt_ori,No,-Z(12).9(2),,,The amount of the original payment on the payment schedule.
DAT-ACT-CLS-TO-ATY-ORI,Date,627,10,dat_act_cls_to_aty_ori,No,MM/DD/CCYY,,,Date the account was closed to purchases or any other withdrawal activity.
